,EFA US Equity,SPY US Equity,EEM US Equity,DBC US Equity,IYR US Equity,LQD US Equity,SHY US Equity
2/3/2006,62.18,126.27,32.2667,24.5,68,106.92,80.07
2/6/2006,62.09,126.6,33.0333,24.2,68.17,107.1,80.03
2/7/2006,61.63,125.48,32.1667,23.5,67.64,106.83,80.04
2/8/2006,61.85,126.62,32.2667,23.4,67.49,106.83,80.01
2/9/2006,61.97,126.41,32.35,23.62,67.75,107,79.99
2/10/2006,61.83,126.64,32.3,23.1899,67.72,106.8,79.93
2/13/2006,61.4,126.41,31.5033,22.83,67.8,106.96,79.99
2/14/2006,62.08,127.75,32.3,22.64,68.3,106.85,79.99
2/15/2006,61.52,128.2,32.1333,22.31,68.84,106.92,79.98
2/16/2006,62.11,129.16,32.9667,22.58,69.43,107.07,80.04
2/17/2006,61.93,128.81,32.9233,22.9,69.93,107.42,80.1
2/20/2006,61.93,128.81,32.9233,22.9,69.93,107.42,80.1
2/21/2006,61.94,128.49,32.6333,23.28,70.01,107.37,80.04
2/22/2006,62.41,129.27,32.81,22.9,70.94,107.77,80.1
2/23/2006,62.57,129.08,32.8,22.82,70.75,107.53,80.03
2/24/2006,62.78,129.41,32.8633,23.44,70.34,107.48,80.06
2/27/2006,63,129.46,33.1633,22.98,70.38,107.43,80.02
2/28/2006,62.42,128.23,32.3,23.29,70.05,107.54,80.13
3/1/2006,63.06,129.37,33.1933,23.24,70.39,106.69,79.81
3/2/2006,62.94,129.36,33.22,23.66,70.22,106.201,79.84
3/3/2006,62.68,128.76,32.6667,23.88,69.93,106,79.76
3/6/2006,62.44,128.17,32.1667,23.5,71.21,105.45,79.79
3/7/2006,61.68,127.97,31.0333,23.09,70.18,105.4,79.79
3/8/2006,61.89,128.24,31.2167,22.72,70.31,105.45,79.84
3/9/2006,61.82,127.38,30.9,22.95,71.02,105.43,79.87
3/10/2006,62.76,128.59,31.55,22.85,71.8,105.7,79.79
3/13/2006,63.28,128.83,31.5167,23.15,71.53,105.56,79.79
3/14/2006,63.95,130.18,32.5,23.49,72.09,106.24,79.95
3/15/2006,64.18,130.76,32.8767,23.23,73.35,106.08,79.97
3/16/2006,64.39,131.03,32.5833,23.43,74.14,106.66,80.11
3/17/2006,64.7,130.62,32.8133,23.32,74.98,106.56,80.08
3/20/2006,64.83,130.41,33,22.84,73.8,106.68,80.12
3/21/2006,64.16,129.59,32.3333,22.92,72.72,106.28,79.98
3/22/2006,64.76,130.38,32.69,22.88,72.93,106.26,80
3/23/2006,63.98,130.11,32.3867,23.27,73.36,106.2,79.98
3/24/2006,64.49,130.21,32.6667,23.22,72.7,106.46,80.09
3/27/2006,64.38,130.02,32.8667,23.36,71.98,106.46,80.07
3/28/2006,63.76,129.22,32.2667,23.66,72.79,105.96,80
3/29/2006,64.6,130.03,32.8833,23.82,74.4,105.86,80
3/30/2006,65.38,129.8,33.05,24.11,73.25,105.54,79.96
3/31/2006,64.92,129.83,33,23.94,73.5,105.3,79.99
4/3/2006,65.63,129.73,33.9333,24.05,71.9,104.95,79.68
4/4/2006,66.15,130.56,34.1333,23.92,71.66,105.05,79.74
4/5/2006,66.37,131.01,34.4833,24.07,72.35,105.4,79.75
4/6/2006,66.43,130.87,34.3067,24.5,71.93,105.02,79.74
4/7/2006,65.67,129.54,33.7833,24.39,70.86,104.61,79.69
4/10/2006,65.79,129.74,33.6667,24.84,70.01,104.38,79.71
4/11/2006,65.35,128.64,33.38,24.94,69.85,104.68,79.78
4/12/2006,65.03,128.88,33.5733,24.89,69.77,104.35,79.73
4/13/2006,65.2,128.71,33.7333,25.05,68.98,104.15,79.72
4/14/2006,65.2,128.71,33.7333,25.05,68.98,104.15,79.72
4/17/2006,65.5,128.66,34.1333,25.32,68.67,104.13,79.77
4/18/2006,66.84,130.7,35.2667,25.65,70.32,104.55,79.88
4/19/2006,67.3,130.95,35.4833,25.9,71.3,104.48,79.86
4/20/2006,67,131.13,35.3567,25.6,71.37,104.43,79.83
4/21/2006,67.45,131.15,35.6333,26.14,71.38,104.63,79.83
4/24/2006,67.52,130.91,35.1667,25.62,71.02,104.84,79.87
4/25/2006,67.48,130.37,34.6833,25.7,70.52,104.34,79.81
4/26/2006,67.9,130.4,35.3667,25.6,70.2,104.22,79.75
4/27/2006,68.02,131.03,34.81,25.2,70.9,104.41,79.88
4/28/2006,68.03,131.47,35.15,25.62,71.1,104.65,79.9
5/1/2006,68,130.4,35.14,25.9,70,103.66,79.59
5/2/2006,69.04,131.38,35.76,26.2,69.44,103.82,79.6
5/3/2006,68.63,130.89,35.8,25.73,69.51,103.82,79.6
5/4/2006,69.16,131.36,36.15,25.42,70.34,103.78,79.61
5/5/2006,70.22,132.52,36.7333,25.7,71.6,103.9,79.63
5/8/2006,70.16,132.36,37,25.63,71.83,104.03,79.62
